offering_id,name,hotel_class,region_id,type,region,locality
99499,DoubleTree by Hilton San Antonio Downtown,3.5,60956,hotel,TX,San Antonio
99416,Crowne Plaza Airport,3.5,60956,hotel,TX,San Antonio
1562631,Candlewood Suites San Antonio NW Near Seaworld,2.0,60956,hotel,TX,San Antonio
223697,Hilton San Antonio Hill Country Hotel & Spa,3.5,60956,hotel,TX,San Antonio
108943,Comfort Suites San Antonio at Rittiman,2.5,60956,hotel,TX,San Antonio
1164348,Holiday Inn Express Hotel & Suites San Antonio,2.5,60956,hotel,TX,San Antonio
108791,Days Inn San Antonio Northwest / Seaworld,2.0,60956,hotel,TX,San Antonio
225490,Microtel Inn & Suites by Wyndham San Antonio North East,2.0,60956,hotel,TX,San Antonio
99464,La Quinta Inn San Antonio Sea World Ingram Park,2.0,60956,hotel,TX,San Antonio
1163830,Sleep Inn & Suites near Seaworld,2.0,60956,hotel,TX,San Antonio
244322,Motel 6 San Antonio West - Seaworld,,60956,hotel,TX,San Antonio
108642,Baymont San Antonio Wurzbach / Medical Center,2.0,60956,hotel,TX,San Antonio
1165123,Quality Inn,2.0,60956,hotel,TX,San Antonio
99418,Americas Best Value Inn-AT&T Center,2.0,60956,hotel,TX,San Antonio
604553,Motel 6 San Antonio - Bandera Road,,60956,hotel,TX,San Antonio
108171,Holiday Inn Lackland,3.0,60956,hotel,TX,San Antonio
99527,Motel 6 San Antonio NW-Medical Center,,60956,hotel,TX,San Antonio
99497,Days Inn NW Medical Center,2.0,60956,hotel,TX,San Antonio
108190,Days Inn San Antonio/AT&T Center,2.0,60956,hotel,TX,San Antonio
99513,Rodeway Inn Downtown,2.0,60956,hotel,TX,San Antonio
108939,Quality Inn & Suites San Antonio East,2.0,60956,hotel,TX,San Antonio
108608,Days Inn Fiesta Park,2.0,60956,hotel,TX,San Antonio
223687,Villager Lodge San Antonio,,60956,hotel,TX,San Antonio
293240,Rodeway Inn San Antonio Near AT&T Center,1.5,60956,hotel,TX,San Antonio
99536,Red Roof Inn Lackland,2.0,60956,hotel,TX,San Antonio
223703,Econo Lodge Central San Antonio,2.0,60956,hotel,TX,San Antonio
99431,American Inn & Suites Lackland,,60956,hotel,TX,San Antonio
222987,Days Inn Downtown/Riverwalk,2.0,60956,hotel,TX,San Antonio
831103,Economy Inn San Antonio,,60956,hotel,TX,San Antonio
491073,Travel Inn,2.0,60956,hotel,TX,San Antonio
247839,Motel 6 San Antonio North,,60956,hotel,TX,San Antonio
239357,Super 8 Motel San Antonio Near Seaworld,1.5,60956,hotel,TX,San Antonio
108933,Days Inn San Antonio,1.5,60956,hotel,TX,San Antonio
99542,Fiesta Inn & Suites,2.0,60956,hotel,TX,San Antonio
108857,Knights Inn San Antonio/Medical Center/Fiesta Area,2.0,60956,hotel,TX,San Antonio
99521,Super 8 Downtown Riverwalk,2.0,60956,hotel,TX,San Antonio
577395,Budget Suites of America San Antonio,,60956,hotel,TX,San Antonio
530411,Rodeway Inn & Suites Fiesta Park,2.0,60956,hotel,TX,San Antonio
643318,Alamo Lodge,,60956,hotel,TX,San Antonio
99502,Knights Inn San Antonio/Fort Sam Houston,2.0,60956,hotel,TX,San Antonio
